Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance
"Geneva, Switzerland - Singapore, Singapore",GVA,SIN,25.3,51.56,1.34,103.98,6213.316404950064
"Doha, Qatar - Singapore, Singapore",SIN,DOH,1.3,103.98,25.27,51.56,6214.577495340189
"Doha, Qatar - Singapore, Singapore",SIN,DOH,1.3,103.98,25.27,51.56,6214.577495340189
"London, United Kingdom - Raleigh/durham, United States Of America",RDU,LHR,35.9,-78.79,51.47,-0.45,6217.362789931352
"Geneva, Switzerland - Houston, United States Of America",IAH,GVA,40.7,-74.18,46.23,6.11,6227.666121698504
"Geneva, Switzerland - Newark, United States Of America",GVA,EWR,46.2,6.11,40.69,-74.18,6229.7428585634425
"Cairo, Egypt - Johannesburg, South Africa",JNB,CAI,-26.1,28.23,30.05,31.25,6253.835610689726
"Accra, Ghana - Dubai, United Arab Emirates",DXB,ACC,25.3,55.35,5.6,-0.17,6291.048167257549
"Accra, Ghana - Dubai, United Arab Emirates",DXB,ACC,25.3,55.35,5.6,-0.17,6291.048167257549
"Singapore, Singapore - Sydney, Australia",SIN,SYD,1.3,103.98,-33.92,151.23,6295.648843924655
"Singapore, Singapore - Sydney, Australia",SIN,SYD,1.3,103.98,-33.92,151.23,6295.648843924655
"Frankfurt, Germany - Sydney, Australia",FRA,SYD,1.3,103.98,-33.92,151.23,6295.648843924655
"Singapore, Singapore - Sydney, Australia",SIN,SYD,1.3,103.98,-33.92,151.23,6295.648843924655
"Singapore, Singapore - Sydney, Australia",SIN,SYD,1.3,103.98,-33.92,151.23,6295.648843924655
"Singapore, Singapore - Sydney, Australia",SIN,SYD,1.3,103.98,-33.92,151.23,6295.648843924655
"Abu Dhabi, United Arab Emirates - Johannesburg, South Africa",JNB,AUH,-26.1,28.23,24.42,54.64,6295.690783859674
"Abu Dhabi, United Arab Emirates - Johannesburg, South Africa",AUH,JNB,24.4,54.64,-26.13,28.23,6296.65515112739
"Singapore, Singapore - Sydney, Australia",SYD,SIN,-33.9,151.23,1.34,103.98,6297.630416264104
"Singapore, Singapore - Sydney, Australia",SYD,SIN,-33.9,151.23,1.34,103.98,6297.630416264104
"Singapore, Singapore - Sydney, Australia",SYD,SIN,-33.9,151.23,1.34,103.98,6297.630416264104
"Singapore, Singapore - Sydney, Australia",SYD,SIN,-33.9,151.23,1.34,103.98,6297.630416264104
"Singapore, Singapore - Sydney, Australia",SYD,SIN,-33.9,151.23,1.34,103.98,6297.630416264104
"Doha, Qatar - Hong Kong, Hong Kong",HKG,DOH,22.3,113.94,25.27,51.56,6300.270063442276
"New York, United States Of America - Zurich, Switzerland",ZRH,JFK,47.5,8.57,40.64,-73.79,6311.878364873615
"New York, United States Of America - Zurich, Switzerland",ZRH,JFK,47.5,8.57,40.64,-73.79,6311.878364873615
"New York, United States Of America - Zurich, Switzerland",ZRH,JFK,47.5,8.57,40.64,-73.79,6311.878364873615
"New York, United States Of America - Zurich, Switzerland",ZRH,JFK,47.5,8.57,40.64,-73.79,6311.878364873615
"Bombay, India - Madrid, Spain",MAD,BOM,48.3,11.77,19.09,72.86,6313.7642897112655
"Bombay, India - Munich, Germany",MUC,BOM,48.3,11.77,19.09,72.86,6313.7642897112655
"Newark, United States Of America - Stuttgart, Germany",EWR,STR,40.7,-74.18,54.42,13.52,6314.094560385367
"Atlanta, United States Of America - Paris, France",ATL,CDG,42.9,-83.53,49.01,2.54,6323.996814200049
"Newark, United States Of America - Zurich, Switzerland",ZRH,EWR,47.5,8.57,40.69,-74.18,6334.870327719124
"Newark, United States Of America - Zurich, Switzerland",ZRH,EWR,47.5,8.57,40.69,-74.18,6334.870327719124
"Newark, United States Of America - Zurich, Switzerland",ZRH,EWR,47.5,8.57,40.69,-74.18,6334.870327719124
"Houston, United States Of America - Zurich, Switzerland",IAH,ZRH,40.7,-74.18,47.45,8.57,6336.658712929181
"Karachi, Pakistan - London, United Kingdom",KHI,LHR,24.9,67.15,51.47,-0.45,6339.780984720534
"Frankfurt, Germany - Toronto, Canada",FRA,YYZ,50.1,8.56,43.68,-79.61,6340.081356042138
"Toronto, Canada - Zurich, Switzerland",ZRH,YYZ,50.1,8.56,43.68,-79.61,6340.081356042138
"Baltimore, United States Of America - Frankfurt, Germany",BWI,FRA,43.7,-79.61,50.05,8.56,6341.470262427699
"Lisbon, Portugal - Philadelphia, United States Of America",PHL,LIS,45.1,-89.01,38.77,-9.13,6373.316698238136
"Berlin, Germany - New York, United States Of America",JFK,TXL,40.6,-73.79,52.55,13.29,6374.088385280451
"New York, United States Of America - Nice, France",NCE,JFK,43.7,7.21,40.64,-73.79,6407.082495749345
"New York, United States Of America - Nice, France",NCE,JFK,43.7,7.21,40.64,-73.79,6407.082495749345
"New York, United States Of America - Nice, France",JFK,NCE,40.6,-73.79,43.67,7.21,6410.992699420023
"Dubai, United Arab Emirates - Johannesburg, South Africa",JNB,DXB,-26.1,28.23,25.25,55.35,6411.114252150821
"Dubai, United Arab Emirates - Johannesburg, South Africa",JNB,DXB,-26.1,28.23,25.25,55.35,6411.114252150821
"Dubai, United Arab Emirates - Johannesburg, South Africa",JNB,DXB,-26.1,28.23,25.25,55.35,6411.114252150821
"Dubai, United Arab Emirates - Johannesburg, South Africa",JNB,DXB,-26.1,28.23,25.25,55.35,6411.114252150821
"Delhi, India - Johannesburg, South Africa",DEL,JNB,25.3,55.35,-26.13,28.23,6418.892646733093
